2.239,0.981
-0.724,-0.298
-0.220,-0.117
0.485,-0.296
0.315,0.230
0.534,0.048
1.918,-0.898
-1.592,-0.720
-0.535,1.296
0.111,0.600
-0.522,-2.065
-0.457,0.858
-0.534,-0.630
-0.881,-0.709
-1.845,-0.281
-1.523,0.535
0.108,1.258
-1.288,0.967
-1.863,-0.063
0.668,-0.733
-1.537,-0.927
-0.078,0.529
-0.898,0.021
-1.163,0.542
-0.845,0.071
0.453,-0.842
-1.872,-0.950
1.074,0.021
-1.207,-0.479
-1.220,-0.481
0.388,-0.099
0.608,-1.829
-2.357,1.462
0.162,0.137
-0.098,0.799
-0.068,-0.054
0.660,0.270
-0.329,0.647
1.142,2.466
0.685,-2.011
0.165,2.362
-0.592,0.549
-1.513,-0.293
0.818,1.320
-0.041,-1.169
0.645,0.404
-0.495,-0.449
-0.336,-0.167
0.078,0.813
-2.078,-2.242
-2.309,0.827
0.072,0.052
1.480,0.740
0.990,1.728
-0.290,0.635
-0.726,1.385
-1.395,0.004
-1.136,0.845
0.189,1.104
-0.669,2.166
-1.257,-1.998
1.360,-0.937
0.393,0.648
-1.223,-1.180
1.733,0.336
-0.154,-0.949
0.953,-0.466
-0.263,0.308
1.556,0.341
-2.634,-1.227
-1.426,1.638
-0.228,-0.473
-0.155,-1.339
-0.458,0.312
0.660,2.311
-0.182,1.386
0.485,1.182
-2.780,-0.127
1.069,-0.382
-0.940,-0.779
-0.377,0.932
0.046,0.312
-0.183,0.318
0.306,-0.384
-1.122,-1.987
0.160,-0.241
1.460,1.187
-0.353,0.914
0.384,0.641
1.136,-0.261
-1.107,0.178
0.047,-1.300
-1.559,1.023
-1.555,0.753
1.294,-0.409
0.140,-2.418
0.808,-2.261
-0.839,1.066
1.126,-0.564
-0.012,-0.842
